# sweep lit_b100 blocks=22
SWP SCB       E000ED00: 410FD214 00400000 08060000 FA052300
SWP SCB       E000ED10: 00000000 00000201 00000000 00000000
SWP NVIC_ISER E000E100: 6C9D9004 0F800000 030C4284 00000030
SWP NVIC_ISER E000E110: 00000000 00000000 00000000 00000000
SWP NVIC_IPR  E000E400: 00500000 00000000 50000000 50000050
SWP NVIC_IPR  E000E410: 50500050 50000050 00500000 00505000
SWP NVIC_IPR  E000E420: 00000000 00000000 00000000 00000000
SWP NVIC_IPR  E000E430: 00005000 50000000 50505050 00000000
SWP NVIC_IPR  E000E440: 00500000 F0000000 00005000 00500000
SWP NVIC_IPR  E000E450: 50500000 00000000 00005050 00000000
SWP NVIC_IPR  E000E460: 00000000 00005050 00000000 00000000
SWP NVIC_IPR  E000E470: 00000000 00000000 00000000 00000000
SWP RCC       46020C00: 03000035 00000000 048945ED 00084210
SWP RCC       46020C10: 00100514 0000012A 00000000 0000000F
SWP RCC       46020C20: 00000000 00000000 0006021D 00000000
SWP RCC       46020C30: 00000000 00010009 00000000 01010280
SWP RCC       46020C40: 00000000 01010280 00000000 00000000
SWP RCC       46020C50: 00000000 00000000 00000000 00000000
SWP RCC       46020C60: 00000000 00000000 00000000 00000000
SWP RCC       46020C70: 00000000 00000000 00000000 00000000
SWP RCC       46020C80: 00000000 00000000 D0201101 C800007F
SWP RCC       46020C90: 80000000 80000004 00000000 00640014
SWP RCC       46020CA0: 00000002 00041000 002038C2 00000000
SWP RCC       46020CB0: FFFFFFFF FFFFFFFF FFFFFFFF FFFFFFFF
SWP RCC       46020CC0: 00000000 FFFFFFFF FFFFFFFF FFFFFFFF
SWP RCC       46020CD0: FFFFFFFF 00000000 00203800 00000000
SWP RCC       46020CE0: 08905420 00000000 00000F44 00000000
SWP RCC       46020CF0: 0C00A987 00004400 00000000 00000000
SWP GPIOA     42020000: 680151A0 00000100 0C000000 26800400
SWP GPIOA     42020010: 0000A124 00008120 00000000 00000000
SWP GPIOA     42020020: 00008800 00000000 00000000 00000000
SWP GPIOB     42020400: 6816AAA5 000060C0 000000C0 00000100
SWP GPIOB     42020410: 000060D4 00000000 00000000 00000000
SWP GPIOB     42020420: 44500100 04400002 00000000 00000000
SWP GPIOC     42020800: F2AACE0A 00000003 02AA0000 01550000
SWP GPIOC     42020810: 00000F53 00000000 00000000 00000000
SWP GPIOC     42020820: 00070044 000CCCCC 00000000 00000000
SWP GPIOD     42020C00: 2ADCC4E3 00003000 00000020 40010100
SWP GPIOD     42020C10: 0000B514 0000C510 00000000 00000000
SWP GPIOD     42020C20: 00000C00 0E440000 00000000 00000000
SWP GPIOE     42021000: 01110111 00000000 00000000 54445444
SWP GPIOE     42021010: 0000FFFF 0000FFFF 00000000 00000000
SWP GPIOE     42021020: 00000000 00000000 00000000 00000000
SWP GPIOF     42021400: C4FFFF50 00000008 00000000 02000001
SWP GPIOF     42021410: 00002005 00002004 00000000 00000000
SWP GPIOF     42021420: 00000000 00000000 00000000 00000000
SWP GPIOG     42021800: FCD307AD 00000000 00000000 00004000
SWP GPIOG     42021810: 00000480 00000400 00000000 00000000
SWP GPIOG     42021820: 00005500 00000000 00000000 00000000
SWP GPIOH     42021C00: FFFFFFFF FFFFFFFF FFFFFFFF FFFFFFFF
SWP GPIOH     42021C10: FFFFFFFF FFFFFFFF FFFFFFFF FFFFFFFF
SWP GPIOH     42021C20: FFFFFFFF FFFFFFFF FFFFFFFF FFFFFFFF
SWP I2C1      40005400: 00000001 02000000 00008000 00000000
SWP I2C1      40005410: 00F07BFF 00000000 00000001 00000000
SWP I2C2      40005800: 00000001 02000000 00008000 00000000
SWP I2C2      40005810: 00F07BFF 00000000 00000001 00000000
SWP I2C3      46002800: 00000001 02000000 00008000 00000000
SWP I2C3      46002810: 00701F6B 00000000 00000001 00000000
SWP I2C4      40008400: 00000001 02000000 00008000 00000000
SWP I2C4      40008410: 00701F6B 00000000 00000001 00000000
SWP I2C5      40009800: 00000000 00000000 00000000 00000000
SWP I2C5      40009810: 00000000 00000000 00000001 00000000
SWP I2C6      40009C00: 00000000 00000000 00000000 00000000
SWP I2C6      40009C10: 00000000 00000000 00000001 00000000
SWP SPI1      40013000: 00001100 0000000F 60070007 45440000
SWP SPI1      40013010: 00000000 0000A007 00000000 00000000
SWP SPI3      46002000: 00000000 00000000 00000000 00000000
SWP SPI3      46002010: 00000000 00000000 00000000 00000000
SWP USART3    40004800: 00000009 00000000 00000000 00000011
SWP USART3    40004810: 00000000 00000000 00000000 002000C0
SWP LPUART1   46002400: 2000000D 00000000 00000000 00000457
SWP LPUART1   46002410: 00000000 00000000 00000000 08E200C2
SWP LPUART1   46002420: 00000000 00000000 00000000 00000000
