group,text,variant,face,px,w,h,ink,l1,l2,l3,partial
barcode,0123456789ABCD,sq,helvB24_tr,24,203,18,1818,32,272,1514,0.167
barcode,0123456789ABCD,ref,Poppins-SemiBold.ttf,20,184,16,1444,252,324,868,0.399
barcode,0123456789ABCD,ref_light,Poppins-SemiBold.ttf,20,185,15,1438,296,266,876,0.391
barcode,0123456789ABCD,hard,Poppins-SemiBold.ttf,20,184,15,1191,0,0,1191,0.0
barcode,A1234,sq,helvB24_tr,24,69,18,583,8,118,457,0.216
barcode,A1234,ref,Poppins-SemiBold.ttf,20,66,15,465,84,109,272,0.415
barcode,A1234,ref_light,Poppins-SemiBold.ttf,20,66,15,459,96,79,284,0.381
barcode,A1234,hard,Poppins-SemiBold.ttf,20,65,15,378,0,0,378,0.0
barcode,GYMWORLD12345678,sq,helvR24_tr,18,188,13,1059,107,410,542,0.488
barcode,GYMWORLD12345678,ref,Poppins-Regular.ttf,18,187,15,1068,281,328,459,0.57
barcode,GYMWORLD12345678,ref_light,Poppins-Regular.ttf,18,193,13,1063,276,306,481,0.548
barcode,GYMWORLD12345678,hard,Poppins-Regular.ttf,18,185,13,800,0,0,800,0.0
barcode,"Set it to Code128,",sq,helvR24_tr,18,143,16,723,70,299,354,0.51
barcode,"Set it to Code128,",ref,Poppins-Regular.ttf,18,148,17,790,230,228,332,0.58
barcode,"Set it to Code128,",ref_light,Poppins-Regular.ttf,18,158,16,782,227,207,348,0.555
barcode,"Set it to Code128,",hard,Poppins-Regular.ttf,18,148,17,548,0,0,548,0.0
barcode,Toby Murray,sq,helvR24_tr,18,100,17,519,49,192,278,0.464
barcode,Toby Murray,ref,Poppins-Regular.ttf,18,106,19,546,104,207,235,0.57
barcode,Toby Murray,ref_light,Poppins-Regular.ttf,18,113,18,540,92,200,248,0.541
barcode,Toby Murray,hard,Poppins-Regular.ttf,18,105,18,438,0,0,438,0.0
spin,NOTHING WAS SAVED,sq,helvR24_tr,16,175,13,985,146,423,416,0.578
spin,NOTHING WAS SAVED,ref,Poppins-Regular.ttf,16,157,12,801,213,307,281,0.649
spin,NOTHING WAS SAVED,ref_light,Poppins-Regular.ttf,16,164,11,797,218,298,281,0.647
spin,NOTHING WAS SAVED,hard,Poppins-Regular.ttf,16,157,11,587,0,0,587,0.0
spin,FINDING STRAP,sq,helvR24_tr,16,124,13,710,89,323,298,0.58
spin,FINDING STRAP,ref,Poppins-Regular.ttf,16,107,12,560,125,252,183,0.673
spin,FINDING STRAP,ref_light,Poppins-Regular.ttf,16,112,11,570,141,245,184,0.677
spin,FINDING STRAP,hard,Poppins-Regular.ttf,16,107,11,432,0,0,432,0.0
spin,NOT SAVED,sq,helvB24_tr,18,104,13,714,38,187,489,0.315
spin,NOT SAVED,ref,Poppins-SemiBold.ttf,18,96,13,691,125,191,375,0.457
spin,NOT SAVED,ref_light,Poppins-SemiBold.ttf,18,100,12,635,108,129,398,0.373
spin,NOT SAVED,hard,Poppins-SemiBold.ttf,18,95,13,572,0,0,572,0.0
