seq,sensor_ts_ms,arrival_ms,batch,x_mg,y_mg,z_mg
0,14782,16259,1,-289,565,10113
1,14862,16259,1,-1865,-366,9790
2,14942,16259,1,-852,-395,9732
3,15022,16259,1,-1125,172,9806
4,15102,16259,1,251,964,10173
5,15183,16259,1,-1309,-234,9720
6,15263,16259,1,-1680,2150,11083
7,15343,16259,1,-3383,1642,9131
8,15423,16259,1,-1568,-62,9737
9,15504,16259,1,-1036,-670,9694
10,15584,16259,1,-383,-926,9574
11,15664,16259,1,-184,112,10230
12,15744,16259,1,1496,440,9505
13,15825,17291,1,-878,-603,9632
14,15905,17291,1,-507,-584,9821
15,15986,17291,1,-217,-318,9715
16,16066,17291,1,-538,-622,9754
17,16147,17291,1,-636,-751,9694
18,16227,17291,1,-603,-718,9656
19,16308,17291,1,-445,-751,9692
20,16388,17291,1,-476,-639,9629
21,16469,17291,1,-708,-802,9708
22,16549,17291,1,-514,-749,9672
23,16630,17291,1,-512,-696,9646
24,16710,17291,1,-562,-727,9701
25,16791,18288,1,-603,-821,9605
26,16871,18288,1,-526,-816,9627
27,16951,18288,1,-596,-744,9624
28,17031,18288,1,-347,-660,9739
29,17111,18288,1,-347,-861,9660
30,17192,18288,1,-294,-715,9665
31,17272,18288,1,-325,-780,9627
32,17352,18288,1,-344,-826,9689
33,17432,18288,1,-189,-1027,9823
34,17513,18288,1,-227,-677,9644
35,17593,18288,1,-237,-785,9617
36,17673,18288,1,-201,-658,9687
37,17753,18288,1,67,-727,9701
38,17834,19003,1,138,-976,9744
39,17914,19003,1,471,-624,9660
40,17995,19003,1,531,-754,9771
41,18075,19003,1,524,-581,9713
42,18156,19003,1,620,-462,9730
43,18236,19003,1,569,-421,9725
44,18317,19003,1,675,-213,9586
45,18397,19003,1,739,-615,9725
46,18478,19004,1,725,-438,9665
47,18558,19004,1,770,-414,9730
48,18639,19004,1,713,-478,9641
49,18719,19004,1,687,-445,9699
50,18803,20007,1,574,-488,9751
51,18883,20007,1,658,-418,9660
52,18963,20008,1,612,-418,9780
53,19043,20008,1,603,-502,9665
54,19123,20008,1,591,-545,9608
55,19203,20008,1,639,-507,9768
56,19283,20008,1,648,-474,9651
57,19363,20008,1,620,-675,9747
58,19443,20008,1,648,-869,9747
59,19523,20008,1,620,-656,9672
60,19603,20008,1,577,-842,9632
61,19683,20008,1,663,-634,9751
62,19763,20008,1,730,-603,9962
63,19849,21275,1,603,-1189,9507
64,19929,21275,1,857,-739,9531
65,20009,21275,1,1110,-957,9794
66,20089,21275,1,1388,-694,9847
67,20169,21275,1,1314,-239,9534
