at_ms,push_ms,push_ok
11060,22,1
11161,23,1
11259,21,1
11359,22,1
11458,22,1
11558,21,1
11658,22,1
11757,21,1
11856,22,1
11955,22,1
12054,21,1
12155,22,1
12254,21,1
12354,21,1
12455,22,1
12554,21,1
12655,23,1
12753,21,1
12852,21,1
12952,22,1
13051,21,1
13151,22,1
13250,21,1
13350,21,1
13451,22,1
13550,21,1
13650,22,1
13750,22,1
13848,21,1
13948,22,1
14047,21,1
14147,22,1
14247,22,1
14346,21,1
14447,22,1
14546,21,1
14646,22,1
14745,22,1
14844,21,1
14944,22,1
15042,21,1
15142,21,1
15242,22,1
15342,21,1
15443,22,1
15542,21,1
15641,21,1
15742,22,1
15847,21,1
15940,22,1
16040,22,1
16139,21,1
16239,22,1
16338,21,1
16439,22,1
16539,22,1
16639,22,1
16738,22,1
16837,21,1
16935,21,1
17036,22,1
17134,21,1
17234,22,1
17333,21,1
17434,21,1
17535,22,1
17634,21,1
17734,22,1
17833,22,1
17931,21,1
18032,22,1
18130,21,1
18230,22,1
18330,22,1
18430,21,1
18531,22,1
18630,21,1
18730,22,1
18833,22,1
18927,21,1
19027,22,1
19127,21,1
19226,21,1
19328,23,1
19368,23,1
19425,21,1
19525,22,1
19625,22,1
19725,21,1
19824,22,1
19923,21,1
20024,22,1
20123,22,1
20222,21,1
20323,22,1
20422,21,1
20522,22,1
20622,23,1
20721,21,1
20820,22,1
20922,21,1
21020,21,1
21123,23,1
21219,21,1
21318,22,1
21418,21,1
21518,21,1
21618,23,1
21717,21,1
21817,22,1
21919,24,1
22016,21,1
22116,22,1
22214,21,1
22285,22,1
22314,22,1
22415,22,1
22515,21,1
22614,22,1
22714,21,1
22816,23,1
22914,22,1
23012,21,1
23112,22,1
23211,22,1
23310,21,1
23410,22,1
23510,21,1
23611,22,1
23710,21,1
23810,21,1
23909,22,1
24007,21,1
24108,22,1
24208,22,1
24307,21,1
24406,22,1
24507,21,1
24607,22,1
24706,22,1
24805,21,1
24905,22,1
25003,21,1
25104,21,1
25203,22,1
25302,21,1
25402,22,1
25502,21,1
25603,21,1
25703,23,1
25801,21,1
25902,22,1
26000,22,1
26099,21,1
26199,22,1
26298,21,1
26398,22,1
26499,22,1
26599,21,1
26699,22,1
26798,21,1
26898,22,1
26996,22,1
27095,21,1
27196,22,1
27295,21,1
27395,21,1
27496,22,1
27594,21,1
27695,23,1
27794,21,1
27894,21,1
27993,22,1
28092,21,1
28192,22,1
28291,21,1
28391,21,1
28492,22,1
28591,21,1
28691,22,1
28791,22,1
28889,21,1
28989,22,1
29088,21,1
29188,22,1
29287,22,1
29386,21,1
29487,22,1
29587,21,1
29687,21,1
29786,22,1
29886,21,1
29985,22,1
30083,21,1
30183,21,1
30283,22,1
30383,21,1
30484,22,1
30583,21,1
30683,21,1
30783,22,1
30881,21,1
30981,22,1
31080,22,1
31179,21,1
31279,22,1
31378,21,1
31479,21,1
31580,22,1
31679,21,1
31778,22,1
31878,21,1
31977,21,1
32077,22,1
32176,21,1
32276,22,1
32375,21,1
32476,21,1
32576,22,1
32675,21,1
32775,22,1
32874,22,1
32972,21,1
33073,22,1
33172,21,1
33272,22,1
33372,22,1
33471,21,1
33572,22,1
33671,21,1
33770,21,1
33871,22,1
33969,22,1
34068,22,1
34167,21,1
34267,21,1
34367,22,1
34467,21,1
34568,22,1
34667,21,1
34766,21,1
34866,22,1
34964,21,1
35064,22,1
35164,22,1
35263,21,1
35363,22,1
35463,21,1
35564,22,1
35664,22,1
35763,22,1
35862,22,1
35964,22,1
36062,22,1
36161,22,1
36260,21,1
52388,22,1
52417,21,1
52448,23,1
52496,22,1
52595,21,1
52697,22,1
52796,21,1
52896,21,1
52996,22,1
53095,21,1
53194,22,1
53293,21,1
53393,21,1
53493,22,1
53592,21,1
53693,22,1
53792,21,1
53891,21,1
53992,22,1
54091,21,1
54190,22,1
54290,22,1
54389,22,1
54489,22,1
54588,21,1
54689,22,1
54789,22,1
54887,21,1
54988,22,1
55087,21,1
55186,21,1
55285,22,1
55385,21,1
55485,22,1
55584,21,1
55685,21,1
55785,22,1
55883,21,1
55984,22,1
56083,21,1
56181,21,1
56281,22,1
56380,21,1
56480,22,1
56580,22,1
56680,21,1
56781,22,1
56880,21,1
56980,22,1
57080,22,1
57178,22,1
57278,22,1
57377,22,1
57477,21,1
57576,22,1
57676,21,1
57777,22,1
57875,22,1
57974,21,1
58074,22,1
58173,21,1
58273,22,1
58374,22,1
58474,21,1
58574,22,1
58673,21,1
58773,22,1
58872,22,1
58971,21,1
59070,22,1
59169,21,1
59269,21,1
59369,22,1
59468,21,1
59569,22,1
59668,21,1
59769,21,1
59869,23,1
59967,21,1
60067,22,1
60166,21,1
60265,22,1
60365,22,1
60466,22,1
