seq,cfg,sensor_ts_ms,arrival_ms,batch,x_mg,y_mg,z_mg
0,0,42806,44293,1,-672,663,9771
1,0,42886,44293,1,-861,1075,9591
2,0,42966,44293,1,-548,1017,9754
3,0,43046,44293,1,-806,756,9778
4,0,43127,44293,1,-1288,1347,9646
5,0,43207,44293,1,-1130,1795,9390
6,0,43287,44293,1,986,1254,10302
7,0,43368,44293,1,-174,656,9251
8,0,43448,44293,1,40,1206,9866
9,0,43528,44293,1,177,1659,10190
10,0,43609,44293,1,189,-677,9443
11,0,43689,44293,1,-452,893,9933
12,0,43769,44293,1,-294,210,9708
13,0,43850,45018,1,488,826,9864
14,0,43930,45018,1,-526,1094,9526
15,0,44011,45018,1,146,1381,9739
16,0,44091,45018,1,-174,263,9670
17,0,44171,45018,1,-241,804,9596
18,0,44252,45018,1,-744,878,9794
19,0,44332,45018,1,-380,572,9847
20,0,44413,45018,1,-1168,840,9617
21,0,44493,45018,1,2803,826,10462
22,0,44573,45018,1,59,2142,9878
23,0,44654,45018,1,-3035,-1173,10604
24,0,44734,45018,1,-4091,1000,10568
25,0,44819,46267,1,-5964,-1891,9598
26,0,44899,46267,1,-4944,-28,7259
27,0,44979,46267,1,-3124,-1728,6957
28,0,45059,46267,1,-1699,-1455,7465
29,0,45139,46267,1,-205,-1570,9313
30,0,45219,46267,1,-699,-1745,9395
31,0,45299,46267,1,-1817,-2822,9189
32,0,45379,46267,1,-1613,-2502,8945
33,0,45459,46267,1,-1917,-2370,9443
34,0,45539,46267,1,-2121,-3174,9787
35,0,45619,46267,1,-2521,-1970,9141
36,0,45699,46267,1,-2264,-2370,9423
37,0,45779,46267,1,-2083,-2015,9095
38,0,45859,47271,1,-2755,-1838,9622
39,0,45939,47271,1,-2209,-4956,8353
40,0,46019,47271,1,-2784,-2554,8904
41,0,46100,47271,1,-1786,-2032,8925
42,0,46180,47271,1,-1395,-3682,10029
43,0,46260,47271,1,-2537,-2080,9205
44,0,46341,47271,1,-2128,-2253,8995
45,0,46421,47271,1,-2097,-2592,9155
46,0,46501,47271,1,-2135,-5169,8478
47,0,46582,47271,1,-1692,-3289,8995
48,0,46662,47271,1,-2188,-3282,8411
49,0,46742,47271,1,-1905,-3117,9126
50,0,46823,48275,1,-2401,-3177,8679
51,0,46903,48275,1,-2159,-4017,8887
52,0,46983,48275,1,-1805,-2427,9179
53,0,47063,48275,1,-1893,-3703,8478
54,0,47144,48275,1,-2238,-3593,8667
55,0,47224,48275,1,-1920,-2762,8973
56,0,47304,48276,1,-2121,-3217,8566
57,0,47385,48276,1,-2205,-3246,8904
58,0,47465,48276,1,-2035,-2700,8978
59,0,47545,48276,1,-2063,-3292,8782
60,0,47626,48276,1,-2035,-3146,8899
61,0,47706,48276,1,-1874,-3035,8942
62,0,47786,48276,1,-1903,-2834,8669
63,0,47867,49279,1,-1939,-3100,9409
64,0,47947,49279,1,-1987,-3093,8602
65,0,48028,49279,1,-1671,-3074,8784
66,0,48108,49279,1,-2190,-3430,8978
67,0,48189,49279,1,-2382,-3141,8528
68,0,48269,49279,1,-2262,-2956,8820
69,0,48350,49279,1,-2521,-3696,8583
70,0,48430,49279,1,-1843,-2343,9495
71,0,48511,49279,1,-2042,-3857,8657
72,0,48591,49279,1,-2320,-3332,8712
73,0,48672,49279,1,-2104,-3198,8873
74,0,48752,49279,1,-2032,-3323,9641
75,0,48833,50283,1,-2054,-2432,8918
76,0,48914,50283,1,-2233,-3591,8923
77,0,48996,50283,1,-2411,-3239,8597
78,0,49077,50283,1,-2008,-2942,8868
79,0,49159,50283,1,-2317,-3069,8904
80,0,49240,50283,1,-2059,-3387,8667
81,0,49322,50283,1,-2245,-3351,8767
82,0,49403,50283,1,-2178,-3617,8616
83,0,49485,50283,1,-2185,-3440,8755
84,0,49566,50283,1,-2135,-3543,8712
85,0,49648,50283,1,-2202,-3526,8657
86,0,49729,50283,1,-2202,-3873,8576
87,0,49811,50283,1,-2047,-3351,8798
88,0,49891,51287,1,-2310,-3639,8588
89,0,49971,51287,1,-2243,-3670,8767
90,0,50051,51287,1,-2214,-3555,8801
91,0,50130,51287,1,-2193,-3720,8293
92,0,50210,51287,1,-2437,-3340,8803
93,0,50290,51287,1,-2169,-3589,8564
94,0,50369,51287,1,-2391,-3490,8693
95,0,50449,51287,1,-2437,-3363,8664
96,0,50529,51287,1,-2272,-3378,8856
97,0,50608,51288,1,-2411,-3416,8408
98,0,50688,51288,1,-2427,-3493,8583
99,0,50768,51288,1,-2355,-3366,8712
100,0,50848,52291,1,-2423,-3351,8537
101,0,50927,52291,1,-2363,-3450,8897
102,0,51007,52291,1,-2427,-3462,8573
103,0,51087,52291,1,-2528,-3347,8846
104,0,51166,52291,1,-2466,-3344,8609
105,0,51246,52291,1,-2281,-3567,8631
106,0,51326,52291,1,-2358,-3888,8743
107,0,51405,52291,1,-2293,-3682,8363
108,0,51485,52291,1,-2372,-3488,8664
109,0,51565,52291,1,-2202,-3881,8454
110,0,51644,52291,1,-2442,-3644,8624
111,0,51724,52291,1,-1786,-3387,8413
112,0,51804,52291,1,-2078,-2425,8949
113,0,51884,53295,1,-2415,-4240,8463
114,0,51964,53295,1,-2214,-2940,8983
115,0,52045,53295,1,-2698,-3124,9344
116,0,52125,53295,1,-1994,-4158,8959
117,0,52205,53295,1,-1146,-2798,8945
118,0,52286,53295,1,-1577,-3883,7637
119,0,52366,53295,1,-3689,-3541,8772
120,0,52447,53295,1,-1587,-3126,8727
121,0,52527,53295,1,-2449,-3419,8540
122,0,52607,53295,1,-2121,-3701,8636
123,0,52688,53295,1,-2083,-3153,8370
124,0,52768,53295,1,-1980,-2856,9921
125,0,52849,54300,1,-1972,-3433,7994
126,0,52929,54301,1,-2169,-2396,9172
127,0,53009,54301,1,-1759,-3986,8619
128,0,53089,54301,1,-2209,-3028,8581
129,0,53169,54301,1,-2011,-3579,9306
130,0,53250,54301,1,-2087,-3380,8911
131,0,53330,54301,1,-2193,-2382,9924
132,0,53410,54301,1,-1776,-3296,9002
133,0,53490,54301,1,-1106,-2049,9347
134,0,53571,54301,1,-2818,-3782,8739
135,0,53651,54301,1,-1625,-4139,8674
136,0,53731,54301,1,-1757,-2791,9581
137,0,53811,54301,1,-1929,-3895,9217
138,0,53892,54939,1,-2121,-3514,8097
139,0,53972,54939,1,-1786,-3004,9198
140,0,54052,54939,1,-2363,-3069,9052
141,0,54133,54939,1,-1984,-2693,8626
142,0,54213,54939,1,-1922,-3533,8727
143,0,54293,54939,1,-2169,-3569,9028
144,0,54374,54939,1,-1721,-3011,8815
145,0,54454,54939,1,-2241,-3629,8973
146,0,54534,54939,1,-2190,-3150,8590
147,0,54615,54939,1,-2071,-3902,8906
148,0,54695,54939,1,-1970,-3234,9469
149,0,54775,54939,1,-1980,-3122,8456
150,0,54856,55943,1,-2195,-3505,9170
151,0,54936,55943,1,-2243,-2751,8899
152,0,55016,55943,1,-2284,-3493,8533
153,0,55097,55943,1,-1965,-3184,8648
154,0,55177,55943,1,-2190,-3984,9136
155,0,55258,55943,1,-2071,-3220,8605
156,0,55338,55943,1,-2090,-3261,9038
157,0,55418,55943,1,-2066,-2188,9035
158,0,55499,55943,1,-2300,-3476,9045
159,0,55579,55943,1,-2322,-2525,8801
160,0,55660,55943,1,-1704,-2940,8640
161,0,55740,55943,1,-3091,-3234,8008
162,0,55820,55943,1,-1992,-3498,7565
163,0,55901,56947,1,-2947,-1170,9557
164,0,55981,56947,1,-1881,-4666,7755
165,0,56062,56947,1,-2478,-2607,8435
166,0,56142,56947,1,-2566,-4170,9229
167,0,56222,56947,1,-2071,-3411,8044
168,0,56303,56947,1,-2269,-2968,9203
169,0,56383,56947,1,-2300,-3148,8657
170,0,56464,56947,1,-2128,-3380,8667
171,0,56544,56947,1,-2320,-3234,8645
172,0,56624,56947,1,-2171,-3325,8691
173,0,56705,56947,1,-2367,-3134,8901
174,0,56785,56947,1,-2202,-3275,8566
175,0,56866,57950,1,-2346,-3294,8870
176,0,56946,57950,1,-2322,-3083,8789
177,0,57026,57950,1,-2310,-3270,8775
178,0,57106,57950,1,-2408,-3227,8763
179,0,57187,57950,1,-2336,-3268,8712
180,0,57267,57950,1,-2444,-3311,8772
181,0,57347,57950,1,-2427,-3241,8758
182,0,57428,57950,1,-2399,-3241,8801
183,0,57508,57950,1,-2391,-3246,8765
184,0,57588,57950,1,-2363,-3193,8784
185,0,57669,57950,1,-2372,-3172,8786
186,0,57749,57950,1,-2399,-3320,8777
187,0,57829,57950,1,-2336,-3162,8779
188,0,57910,58955,1,-2425,-3261,8729
189,0,57990,58955,1,-2432,-3258,8691
190,0,58070,58955,1,-2377,-3181,8810
191,0,58151,58955,1,-2399,-3268,8698
192,0,58231,58955,1,-2408,-3217,8755
193,0,58311,58956,1,-2413,-3287,8753
194,0,58392,58956,1,-2401,-3148,8751
195,0,58472,58956,1,-2430,-3258,8707
196,0,58552,58956,1,-2384,-3217,8717
197,0,58633,58956,1,-2434,-3189,8729
198,0,58713,58956,1,-2425,-3256,8686
199,0,58793,58956,1,-2423,-3299,8696
200,0,58874,59958,1,-2406,-3232,8640
201,0,58954,59958,1,-2468,-3280,8707
202,0,59034,59958,1,-2525,-3179,9052
203,0,59114,59958,1,-2004,-2861,9550
204,0,59194,59958,1,220,-3409,10465
205,0,59275,59958,1,-2288,-402,9301
206,0,59355,59958,1,-1996,1687,8877
207,0,59435,59958,1,-2229,2255,7656
208,0,59515,59958,1,-1558,3143,8638
209,0,59596,59958,1,-936,5106,8624
210,0,59676,59958,1,-775,5130,7972
211,0,59756,59958,1,-766,4355,8107
212,0,59836,59958,1,632,3567,8401
213,1,59877,60961,1,-375,5473,9443
214,1,59957,60961,1,-663,5197,9478
215,1,60037,60961,1,167,3442,9086
216,1,60118,60961,1,505,4084,9126
217,1,60198,60961,1,153,3924,9217
218,1,60279,60961,1,763,4197,9311
219,1,60359,60961,1,-1295,4139,9232
220,1,60439,60961,1,-476,4055,8779
221,1,60520,60961,1,409,2983,8935
222,1,60600,60961,1,409,3838,8980
223,1,60681,60961,1,184,3720,9021
224,1,60761,60961,1,239,3727,9117
225,1,60841,60961,1,-9,3833,9134
226,1,60922,61966,1,141,3754,9105
227,1,61004,61966,1,-19,3744,9069
228,1,61086,61966,1,203,3687,9052
229,1,61168,61966,1,141,3550,9215
230,1,61250,61966,1,14,3718,9205
231,1,61332,61966,1,67,3684,9189
232,1,61413,61966,1,79,3665,9110
233,1,61495,61966,1,-40,3684,9069
234,1,61577,61966,1,107,3557,9186
235,1,61659,61966,1,-9,3589,9095
236,1,61741,61966,1,83,3603,9170
237,1,61823,61966,1,134,3589,9191
238,1,61905,62969,1,98,3603,9148
239,1,61984,62969,1,102,3577,9131
240,1,62064,62969,1,4,3660,9198
241,1,62143,62969,1,-55,3555,9258
242,1,62223,62969,1,64,3514,9227
243,1,62303,62969,1,31,3586,9134
244,1,62382,62969,1,43,3543,9162
245,1,62462,62969,1,-14,3641,9172
246,1,62541,62969,1,69,3557,9179
247,1,62621,62969,1,52,3653,9170
248,1,62701,62969,1,23,3591,9184
249,1,62780,62969,1,0,3555,9196
250,1,62860,62969,1,-26,3605,9143
251,1,62937,64097,1,47,3603,9167
252,1,63017,64097,1,-45,3565,9251
253,1,63097,64097,1,0,3555,9162
254,1,63177,64097,1,-2,3572,9179
255,1,63257,64097,1,45,3624,9141
256,1,63337,64097,1,57,3507,9191
257,1,63417,64097,1,0,3565,9210
258,1,63497,64097,1,112,3569,9213
259,1,63577,64097,1,136,3555,9208
260,1,63657,64097,1,40,3543,9155
261,1,63737,64097,1,95,3615,9122
262,1,63817,64097,1,134,3572,9227
263,2,64632,66104,10,-1589,4728,9292
264,2,65453,66104,10,129,3464,9170
265,2,66251,68112,10,90,3519,9186
266,2,67064,68112,10,52,3476,9177
267,2,67861,69116,10,93,3560,9153
268,2,68658,69116,10,59,3574,9217
269,2,69458,71125,10,57,3553,9189
270,2,70261,71125,10,119,3481,9241
271,3,70923,72161,1,83,3505,9119
272,3,70943,72161,1,160,3495,9234
273,3,70963,72161,1,126,3502,9155
274,3,70883,72161,1,93,3529,9186
275,3,70903,72161,1,62,3526,9215
276,3,70983,72161,1,126,3486,9162
277,3,71004,72161,1,126,3488,9227
278,3,71024,72161,1,59,3498,9239
279,3,71044,72161,1,59,3498,9251
280,3,71064,72161,1,79,3507,9215
