# SleepLab epoch log, schema 2. One row per 30 s recording epoch.
# uptime_ms is device uptime and survives an app restart; wall_utc is the
# wall clock and can jump. Durations come from uptime, times of day from
# the wall clock, and -1 means not measured (never 0).
# Schema 2 adds the delivery and power columns the Tier 0 probe used to own,
# so one night can answer both what the wearer did and what the hardware did.
# They are absent, not zero, when the diagnostics setting is off.
uptime_ms,wall_utc,span_ms,count,peak,samples,motion,sig_motion,step_delta,hr_mean_x10,hr_min_x10,hr_samples,hr_source,worn_pct,worn_edges,batt_pct_x10,charging,rmssd_x10,sdnn_x10,rr_count,acc_batches,acc_max_gap_ms,touch_n,hr_trust_x10,hrex_opt,hrex_ext,hrex_unk,batt_mv,batt_ma_x10,batt_avg_ma_x10,batt_mah,wakes,msgs
37218,1787195819,30000,51603,9989,1375,2,4,-1,877,860,7,1,50,1,1000,0,-1,-1,0,143,45,2,11,27,0,0,-1,-1,-1,-1,219,217
67218,1787195849,30000,21612,6269,1375,0,0,0,780,650,29,1,100,0,1000,0,-1,-1,0,143,40,0,12,29,0,0,4356,0,-12,213,206,204
97218,1787195879,30000,41454,7882,1500,1,3,44,635,620,29,1,100,0,1000,0,-1,-1,0,156,40,0,10,29,0,0,4357,35,15,213,226,224
127219,1787195909,30001,49148,7530,1500,1,0,4,761,690,29,1,100,0,1000,0,-1,-1,0,156,40,0,11,29,0,0,4357,-6,-9,213,219,217
157218,1787195939,29999,26785,3184,1500,0,0,0,804,780,29,1,100,0,1000,0,-1,-1,0,156,21,0,11,29,0,0,4358,6,4,213,217,215
187220,1787195969,30002,21539,2565,1375,0,0,18,838,810,28,1,100,0,1000,0,-1,-1,0,143,21,0,11,28,0,0,4357,-35,-28,213,209,207
217219,1787195999,29999,22549,2108,1500,0,2,10,842,810,29,1,100,0,1000,0,-1,-1,0,156,21,0,9,29,0,0,4358,-21,-31,213,223,221
247218,1787196029,29999,23863,2261,1500,0,0,8,809,800,28,1,100,0,1000,0,-1,-1,0,156,21,0,15,28,0,0,4357,-50,-54,213,217,216
277219,1787196059,30001,21853,3126,1375,2,0,0,794,770,30,1,100,0,1000,0,-1,-1,0,143,45,0,13,30,0,0,4357,-14,-17,213,210,208
307218,1787196089,29999,42783,9581,1500,1,1,0,777,760,29,1,100,0,1000,0,-1,-1,0,156,40,0,14,29,0,0,4356,-14,-4,213,220,219
337219,1787196119,30001,72422,16319,1500,0,4,20,852,780,30,1,100,0,1000,0,-1,-1,0,156,21,0,11,30,0,0,4356,-21,-28,213,231,229
367219,1787196149,30000,49923,15129,1500,0,2,22,733,630,29,1,100,0,1000,0,-1,-1,0,156,40,0,11,29,0,0,4359,29,17,213,226,224
397218,1787196179,29999,13028,7108,1375,1,0,4,610,600,29,1,100,0,1000,0,-1,-1,0,143,40,0,20,29,0,0,4357,0,-17,213,207,206
427219,1787196209,30001,18649,10992,1375,2,0,0,611,600,29,1,100,0,1000,0,-1,-1,0,143,40,0,14,29,0,0,4356,-79,-53,213,207,205
457218,1787196239,29999,4410,2121,1500,1,0,0,608,590,30,1,100,0,1000,0,-1,-1,0,156,40,0,22,30,0,0,4357,0,-21,213,221,220
487218,1787196269,30000,18268,7226,1375,1,0,0,602,590,29,1,100,0,1000,0,-1,-1,0,143,40,0,22,29,0,0,4356,-6,-6,213,206,204
517218,1787196299,30000,18550,14503,1500,2,0,0,610,580,30,1,100,0,1000,0,-1,-1,0,156,40,0,20,30,0,0,4355,-50,-31,213,222,221
547218,1787196329,30000,1618,955,1375,1,0,0,644,610,30,1,100,0,1000,0,-1,-1,0,143,46,0,13,30,0,0,4357,-57,-4,213,208,206
577219,1787196359,30001,927,385,1500,0,0,0,597,580,30,1,100,0,1000,0,-1,-1,0,156,21,0,22,30,0,0,4356,6,-7,213,219,217
607218,1787196389,29999,1329,843,1500,1,0,0,607,570,29,1,100,0,1000,0,-1,-1,0,156,40,0,16,29,0,0,4357,-6,-9,213,219,217
637219,1787196419,30001,1117,611,1500,0,0,0,585,570,30,1,100,0,1000,0,-1,-1,0,156,21,0,17,30,0,0,4356,14,-4,213,219,217
667219,1787196449,30000,577,119,1500,0,0,0,641,590,30,1,100,0,999,0,-1,-1,0,156,40,0,16,30,0,0,4356,-50,-48,213,219,218
697220,1787196479,30001,1490,543,1375,0,0,0,673,590,30,1,100,0,999,0,-1,-1,0,143,21,0,15,30,0,0,4356,-35,-14,213,206,204
727218,1787196509,29998,1264,302,1500,0,0,0,589,580,30,1,100,0,999,0,-1,-1,0,156,21,0,22,30,0,0,4355,21,0,213,218,217
757218,1787196539,30000,2763,677,1500,1,0,0,601,590,29,1,100,0,999,0,-1,-1,0,156,40,0,27,29,0,0,4354,-107,-75,213,219,217
787218,1787196569,30000,22619,7119,1375,1,0,0,624,590,30,1,100,0,999,0,-1,-1,0,143,40,0,18,30,0,0,4356,50,18,213,208,206
817218,1787196599,30000,13051,9130,1500,1,0,0,621,580,29,1,100,0,1000,0,-1,-1,0,156,40,0,23,29,0,0,4355,-21,4,213,219,218
847219,1787196629,30001,293,46,1500,0,0,0,590,580,30,1,100,0,1000,0,-1,-1,0,156,21,0,30,30,0,0,4357,-14,-31,213,219,217
877219,1787196659,30000,228,31,1500,0,0,0,602,600,30,1,100,0,1000,0,-1,-1,0,156,21,0,30,30,0,0,4357,6,-3,213,219,217
907218,1787196689,29999,223,24,1500,0,0,0,610,610,30,1,100,0,1000,0,-1,-1,0,156,21,0,30,30,0,0,4356,57,21,213,219,217
937220,1787196719,30002,477,453,1375,0,0,0,603,600,30,1,100,0,1000,0,-1,-1,0,143,21,0,30,30,0,0,4356,-21,-35,213,206,204
967218,1787196749,29998,233,26,1500,0,0,0,601,600,29,1,100,0,1000,0,-1,-1,0,156,21,0,30,29,0,0,4355,-35,-23,213,217,215
997218,1787196779,30000,251,47,1500,0,0,0,608,600,30,1,100,0,1000,0,-1,-1,0,156,40,0,30,30,0,0,4355,-35,-29,213,219,217
1027218,1787196809,30000,213,21,1500,0,0,0,604,600,30,1,100,0,1000,0,-1,-1,0,156,21,0,30,30,0,0,4351,-159,-84,213,219,217
1057218,1787196839,30000,218,26,1500,0,0,0,600,600,30,1,100,0,1000,0,-1,-1,0,156,21,0,30,30,0,0,4356,0,-4,213,219,217
1087218,1787196869,30000,417,296,1500,0,0,0,602,600,30,1,100,0,1000,0,-1,-1,0,156,21,0,30,30,0,0,4355,21,29,213,219,217
1117218,1787196899,30000,231,26,1500,0,0,0,600,600,29,1,100,0,1000,0,-1,-1,0,156,21,0,30,29,0,0,4338,-562,-279,213,217,215
1147218,1787196929,30000,221,37,1500,0,0,0,599,590,30,1,100,0,1000,0,-1,-1,0,156,21,0,30,30,0,0,4356,21,20,213,219,217
1177219,1787196959,30001,209,21,1500,0,0,0,581,570,30,1,100,0,1000,0,-1,-1,0,156,21,0,30,30,0,0,4355,-35,-18,213,219,217
1207218,1787196989,29999,216,19,1500,0,0,0,577,570,30,1,100,0,1000,0,-1,-1,0,156,21,0,30,30,0,0,4355,65,21,213,218,217
1237218,1787197019,30000,15768,4555,1375,2,0,0,596,580,29,1,100,0,1000,0,-1,-1,0,143,42,0,25,29,0,0,4355,-42,-26,213,207,205
1267219,1787197049,30001,16003,5088,1375,1,0,0,652,610,30,1,100,0,1000,0,-1,-1,0,143,40,0,15,30,0,0,4354,14,-10,213,209,207
1297218,1787197079,29999,269,104,1500,0,0,0,596,590,30,1,100,0,1000,0,-1,-1,0,156,21,0,30,30,0,0,4356,6,17,213,219,217
1327218,1787197109,30000,205,19,1500,0,0,0,606,600,30,1,100,0,1000,0,-1,-1,0,156,21,0,30,30,0,0,4356,-14,-17,213,218,217
1357218,1787197139,30000,196,22,1500,0,0,0,610,600,30,1,100,0,1000,0,-1,-1,0,156,21,0,30,30,0,0,4352,6,-3,213,219,217
1387218,1787197169,30000,465,140,1500,0,0,0,616,610,29,1,100,0,1000,0,-1,-1,0,156,21,0,29,29,0,0,4355,71,37,213,217,215
1417219,1787197199,30001,199,19,1500,0,0,0,625,620,30,1,100,0,1000,0,-1,-1,0,156,21,0,30,30,0,0,4354,-6,-4,213,219,217
1447218,1787197229,29999,203,23,1500,0,0,0,615,610,30,1,100,0,1000,0,-1,-1,0,156,21,0,30,30,0,0,4354,-6,-9,213,219,217
1477218,1787197259,30000,212,22,1500,0,0,0,607,600,30,1,100,0,1000,0,-1,-1,0,156,40,0,30,30,0,0,4355,-6,7,213,219,217
1507218,1787197289,30000,223,34,1500,0,0,0,626,610,30,1,100,0,1000,0,-1,-1,0,156,21,0,30,30,0,0,4355,14,-1,213,219,217
1537218,1787197319,30000,194,18,1500,0,0,0,617,610,29,1,100,0,1000,0,-1,-1,0,156,21,0,30,29,0,0,4354,-6,10,213,217,215
1567219,1787197349,30001,201,20,1500,0,0,0,594,590,30,1,100,0,1000,0,-1,-1,0,156,21,0,30,30,0,0,4355,-14,-3,213,219,217
1597218,1787197379,29999,199,19,1500,0,0,0,592,590,30,1,100,0,999,0,-1,-1,0,156,21,0,30,30,0,0,4354,-35,-35,213,219,218
1627219,1787197409,30001,187,17,1500,0,0,0,599,590,30,1,100,0,999,0,-1,-1,0,156,21,0,30,30,0,0,4354,79,37,213,221,219
1657219,1787197439,30000,176,18,1375,0,0,0,613,600,29,1,100,0,999,0,-1,-1,0,143,21,0,30,29,0,0,4353,-21,-20,212,204,202
1687218,1787197469,29999,197,21,1500,0,0,0,614,600,30,1,100,0,999,0,-1,-1,0,156,21,0,30,30,0,0,4355,6,-32,212,219,217
1717218,1787197499,30000,208,21,1500,0,0,0,595,590,30,1,100,0,999,0,-1,-1,0,156,40,0,30,30,0,0,4356,-6,-25,212,219,217
1747218,1787197529,30000,222,39,1500,0,0,0,599,590,30,1,100,0,999,0,-1,-1,0,156,21,0,30,30,0,0,4354,-14,-18,212,218,217
1777218,1787197559,30000,202,21,1500,0,0,0,601,590,30,1,100,0,999,0,-1,-1,0,156,21,0,30,30,0,0,4354,-6,0,212,218,217
1807218,1787197589,30000,207,27,1500,0,0,0,601,600,29,1,100,0,999,0,-1,-1,0,156,21,0,30,29,0,0,4355,0,-6,212,217,215
1837218,1787197619,30000,210,33,1500,0,0,0,594,590,30,1,100,0,999,0,-1,-1,0,156,21,0,30,30,0,0,4354,0,-1,212,219,217
1867218,1787197649,30000,209,20,1500,0,0,0,594,590,30,1,100,0,999,0,-1,-1,0,156,21,0,30,30,0,0,4353,-50,-37,212,218,217
1897219,1787197679,30001,201,21,1500,0,0,0,603,600,30,1,100,0,999,0,-1,-1,0,156,21,0,30,30,0,0,4354,-35,-31,212,219,217
1927219,1787197709,30000,211,21,1500,0,0,0,600,590,29,1,100,0,1000,0,-1,-1,0,156,21,0,30,29,0,0,4353,-35,-6,212,218,216
1957218,1787197739,29999,205,19,1500,0,0,0,599,590,30,1,100,0,1000,0,-1,-1,0,156,40,0,30,30,0,0,4353,14,9,212,219,217
1987218,1787197769,30000,206,20,1500,0,0,0,601,590,30,1,100,0,1000,0,-1,-1,0,156,21,0,30,30,0,0,4353,29,18,212,219,217
2017218,1787197799,30000,246,42,1500,0,0,0,594,580,30,1,100,0,1000,0,-1,-1,0,156,21,0,30,30,0,0,4354,6,9,212,219,217
2047219,1787197829,30001,247,156,1500,0,0,0,592,590,30,1,100,0,1000,0,-1,-1,0,156,21,0,30,30,0,0,4354,-71,-56,212,219,217
2077218,1787197859,29999,204,22,1500,0,0,0,593,590,30,1,100,0,1000,0,-1,-1,0,156,21,0,30,30,0,0,4353,-50,-31,212,218,217
2107218,1787197889,30000,203,21,1500,0,0,0,591,590,29,1,100,0,1000,0,-1,-1,0,156,21,0,30,29,0,0,4355,21,4,212,217,215
2137218,1787197919,30000,515,804,1375,1,0,0,606,600,30,1,100,0,1000,0,-1,-1,0,143,40,0,30,30,0,0,4353,-65,-32,212,208,206
2167218,1787197949,30000,212,25,1500,0,0,0,598,590,30,1,100,0,1000,0,-1,-1,0,156,40,0,30,30,0,0,4354,35,21,212,218,217
2197218,1787197979,30000,205,23,1500,0,0,0,604,590,30,1,100,0,1000,0,-1,-1,0,156,40,0,30,30,0,0,4354,-21,-15,212,219,217
2227218,1787198009,30000,198,18,1500,0,0,0,607,600,29,1,100,0,1000,0,-1,-1,0,156,21,0,30,29,0,0,4353,50,20,212,217,215
2257218,1787198039,30000,200,19,1500,0,0,0,600,600,30,1,100,0,1000,0,-1,-1,0,156,21,0,30,30,0,0,4353,14,-34,212,218,217
2287218,1787198069,30000,203,25,1500,0,0,0,610,610,30,1,100,0,1000,0,-1,-1,0,156,21,0,30,30,0,0,4354,-50,-43,212,218,217
2317218,1787198099,30000,203,20,1500,0,0,0,602,600,30,1,100,0,1000,0,-1,-1,0,156,21,0,30,30,0,0,4353,-50,-45,212,218,217
2347219,1787198129,30001,200,20,1500,0,0,0,605,590,30,1,100,0,1000,0,-1,-1,0,156,21,0,30,30,0,0,4355,-6,9,212,219,217
2377219,1787198159,30000,187,20,1375,0,0,0,593,590,29,1,100,0,1000,0,-1,-1,0,143,21,0,30,29,0,0,4354,50,37,212,204,202
