# SleepLab epoch log, schema 3. One row per 30 s recording epoch.
# uptime_ms is device uptime and survives an app restart; wall_utc is the
# wall clock and can jump. Durations come from uptime, times of day from
# the wall clock, and -1 means not measured (never 0).
# Schema 2 adds the delivery and power columns the Tier 0 probe used to own,
# so one night can answer both what the wearer did and what the hardware did.
# They are absent, not zero, when the diagnostics setting is off.
# Schema 3 adds count_x/y/z, the per-axis integrals count is the vector
# magnitude of. Noise is roughly isotropic and movement is not, so the split
# is what separates a sensor noise floor from a floor of micro-movement.
uptime_ms,wall_utc,span_ms,count,peak,samples,count_x,count_y,count_z,motion,sig_motion,step_delta,hr_mean_x10,hr_min_x10,hr_samples,hr_source,worn_pct,worn_edges,batt_pct_x10,charging,rmssd_x10,sdnn_x10,rr_count,acc_batches,acc_max_gap_ms,touch_n,hr_trust_x10,hrex_opt,hrex_ext,hrex_unk,batt_mv,batt_ma_x10,batt_avg_ma_x10,batt_mah,wakes,msgs
# SleepLab v0.3.0 bed=1-1439 hr=continuous alarm=0 epoch_s=30 scoring_epoch_s=60
517518,1787260660,30000,630,638,1375,410,436,198,0,0,0,766,720,30,1,100,0,1000,0,-1,-1,0,143,40,0,8,30,0,0,4372,-165,-103,215,208,206
547518,1787260690,30000,187,18,1500,98,108,116,0,0,0,779,760,29,1,100,0,1000,0,-1,-1,0,156,21,0,8,29,0,0,4377,29,1,215,216,215
577518,1787260720,30000,186,20,1500,106,101,115,0,0,0,778,770,30,1,100,0,1000,0,-1,-1,0,156,21,0,8,30,0,0,4375,-37,-29,215,218,217
607518,1787260750,30000,188,17,1500,97,106,121,0,0,0,779,760,30,1,100,0,1000,0,-1,-1,0,156,21,0,8,30,0,0,4375,37,3,215,218,217
637518,1787260780,30000,184,18,1500,97,103,117,0,0,0,787,770,30,1,100,0,1000,0,-1,-1,0,156,21,0,8,30,0,0,4374,14,10,215,218,217
667520,1787260810,30002,183,18,1500,94,99,120,0,0,0,788,770,30,1,100,0,1000,0,-1,-1,0,156,21,0,8,30,0,0,4377,-29,-40,215,219,217
697518,1787260840,29998,171,18,1500,90,93,110,0,0,0,787,770,30,1,100,0,1000,0,-1,-1,0,156,21,0,8,30,0,0,4376,-6,-4,215,218,217
727519,1787260870,30001,186,16,1500,100,103,119,0,0,0,794,780,30,1,100,0,1000,0,-1,-1,0,156,21,0,8,30,0,0,4376,-37,-31,215,219,217
757518,1787260900,29999,178,16,1500,101,100,106,0,0,0,801,790,29,1,100,0,999,0,-1,-1,0,156,21,0,8,29,0,0,4376,0,-9,215,217,216
787518,1787260930,30000,195,19,1500,101,105,129,0,0,0,809,800,30,1,100,0,999,0,-1,-1,0,156,40,0,8,30,0,0,4377,21,-4,214,219,217
817518,1787260960,30000,188,19,1500,104,104,117,0,0,0,791,760,30,1,100,0,999,0,-1,-1,0,156,21,0,8,30,0,0,4376,-85,-54,214,218,217
847519,1787260990,30001,178,16,1500,102,90,114,0,0,0,757,730,30,1,100,0,999,0,-1,-1,0,156,21,0,8,30,0,0,4375,21,9,214,219,217
877519,1787261020,30000,186,18,1500,105,99,117,0,0,0,751,730,30,1,100,0,1000,0,-1,-1,0,156,21,0,8,30,0,0,4374,21,15,214,220,218
907519,1787261050,30000,192,23,1500,98,114,118,0,0,0,749,730,30,1,100,0,1000,0,-1,-1,0,156,21,0,8,30,0,0,4377,-6,-9,214,219,217
937518,1787261080,29999,178,17,1375,92,108,108,0,0,0,738,710,29,1,100,0,1000,0,-1,-1,0,143,21,0,8,29,0,0,4376,-29,-23,214,203,202
967518,1787261110,30000,183,18,1500,97,99,119,0,0,0,699,690,30,1,100,0,1000,0,-1,-1,0,156,21,0,8,30,0,0,4376,-6,-3,214,219,217
997520,1787261140,30002,179,19,1500,92,101,115,0,0,0,727,690,30,1,100,0,1000,0,-1,-1,0,156,21,0,8,30,0,0,4376,-6,-45,214,219,217
1027518,1787261170,29998,187,19,1500,101,105,117,0,0,0,759,740,30,1,100,0,1000,0,-1,-1,0,156,21,0,9,30,0,0,4375,45,21,214,218,217
1057518,1787261200,30000,179,17,1500,97,105,106,0,0,0,789,770,30,1,100,0,1000,0,-1,-1,0,156,21,0,10,30,0,0,4375,-50,-29,214,218,217
1087519,1787261230,30001,182,17,1500,105,95,114,0,0,0,779,760,30,1,100,0,1000,0,-1,-1,0,156,21,0,9,30,0,0,4376,29,-7,214,219,217
1117518,1787261260,29999,184,17,1500,100,105,112,0,0,0,777,770,29,1,100,0,1000,0,-1,-1,0,156,21,0,8,29,0,0,4375,21,9,214,216,215
1147518,1787261290,30000,185,19,1500,99,97,122,0,0,0,778,750,30,1,100,0,1000,0,-1,-1,0,156,21,0,8,30,0,0,4374,-137,-71,214,218,217
1177519,1787261320,30001,192,17,1500,99,106,126,0,0,0,717,680,30,1,100,0,1000,0,-1,-1,0,156,21,0,8,30,0,0,4375,-81,-31,214,219,217
1207518,1787261350,29999,186,21,1500,93,99,127,0,0,0,705,690,30,1,100,0,1000,0,-1,-1,0,156,21,0,8,30,0,0,4375,-14,-6,214,218,217
1237518,1787261380,30000,191,19,1500,97,109,122,0,0,0,706,670,30,1,100,0,1000,0,-1,-1,0,156,21,0,9,30,0,0,4367,-21,-28,214,218,217
1267518,1787261410,30000,181,18,1500,94,106,113,0,0,0,651,620,30,1,100,0,1000,0,-1,-1,0,156,21,0,8,30,0,0,4375,-14,-18,214,219,217
1297518,1787261440,30000,175,18,1500,91,95,115,0,0,0,646,630,30,1,100,0,1000,0,-1,-1,0,156,21,0,8,30,0,0,4374,50,23,214,219,217
1327518,1787261470,30000,192,21,1500,102,108,122,0,0,0,644,630,29,1,100,0,1000,0,-1,-1,0,156,21,0,8,29,0,0,4376,37,-117,214,216,215
1357520,1787261500,30002,187,17,1500,95,107,120,0,0,0,626,600,30,1,100,0,1000,0,-1,-1,0,156,21,0,8,30,0,0,4374,50,32,214,219,217
1387518,1787261530,29998,192,20,1500,98,107,125,0,0,0,616,600,30,1,100,0,1000,0,-1,-1,0,156,21,0,8,30,0,0,4374,37,26,214,218,217
1417518,1787261560,30000,185,17,1500,100,106,113,0,0,0,614,590,30,1,100,0,1000,0,-1,-1,0,156,40,0,8,30,0,0,4374,-14,-28,214,219,217
1447518,1787261590,30000,174,19,1375,95,91,113,0,0,0,635,620,30,1,100,0,1000,0,-1,-1,0,143,21,0,8,30,0,0,4374,-6,-9,214,205,204
1477518,1787261620,30000,199,17,1625,109,107,126,0,0,0,637,610,30,1,100,0,1000,0,-1,-1,0,169,21,0,8,30,0,0,4376,-14,-20,214,232,230
1507518,1787261650,30000,174,18,1500,86,93,119,0,0,0,624,600,30,1,100,0,1000,0,-1,-1,0,156,21,0,8,30,0,0,4375,-37,-29,214,218,217
1537519,1787261680,30001,167,19,1375,93,97,100,0,0,0,659,640,29,1,100,0,1000,0,-1,-1,0,143,21,0,8,29,0,0,4374,73,43,214,204,202
1567518,1787261710,29999,182,19,1500,106,94,114,0,0,0,694,670,30,1,100,0,1000,0,-1,-1,0,156,21,0,8,30,0,0,4374,21,-1,214,219,217
1597518,1787261740,30000,183,18,1500,96,98,121,0,0,0,695,670,30,1,100,0,1000,0,-1,-1,0,156,40,0,9,30,0,0,4374,-29,-1,214,218,217
1627518,1787261770,30000,188,17,1500,98,104,121,0,0,0,737,710,30,1,100,0,1000,0,-1,-1,0,156,21,0,8,30,0,0,4374,21,9,214,219,217
1657518,1787261800,30000,189,19,1500,100,101,125,0,0,0,775,730,30,1,100,0,1000,0,-1,-1,0,156,21,0,9,30,0,0,4375,-14,1,214,219,217
1687518,1787261830,30000,188,18,1500,91,106,125,0,0,0,766,740,30,1,100,0,1000,0,-1,-1,0,156,21,0,9,30,0,0,4375,-87,-35,214,218,217
1717520,1787261860,30002,194,19,1500,106,106,123,0,0,0,749,740,29,1,100,0,1000,0,-1,-1,0,156,21,0,9,29,0,0,4374,-21,7,214,217,215
1747519,1787261890,29999,198,17,1500,108,111,123,0,0,0,739,720,30,1,100,0,999,0,-1,-1,0,156,21,0,8,30,0,0,4376,0,-65,214,220,218
1777518,1787261920,29999,179,17,1500,91,100,117,0,0,0,673,650,30,1,100,0,999,0,-1,-1,0,156,21,0,8,30,0,0,4375,14,14,214,219,217
1807518,1787261950,30000,172,16,1500,95,90,110,0,0,0,625,600,30,1,100,0,999,0,-1,-1,0,156,21,0,8,30,0,0,4374,0,-12,214,218,217
1837518,1787261980,30000,178,18,1500,92,100,114,0,0,0,611,580,30,1,100,0,999,0,-1,-1,0,156,21,0,8,30,0,0,4374,73,40,214,218,217
1867519,1787262010,30001,174,20,1500,90,100,110,0,0,0,627,620,29,1,100,0,1000,0,-1,-1,0,156,21,0,7,29,0,0,4372,29,9,214,218,216
