# SleepLab epoch log, schema 2. One row per 30 s recording epoch.
# uptime_ms is device uptime and survives an app restart; wall_utc is the
# wall clock and can jump. Durations come from uptime, times of day from
# the wall clock, and -1 means not measured (never 0).
# Schema 2 adds the delivery and power columns the Tier 0 probe used to own,
# so one night can answer both what the wearer did and what the hardware did.
# They are absent, not zero, when the diagnostics setting is off.
uptime_ms,wall_utc,span_ms,count,peak,samples,motion,sig_motion,step_delta,hr_mean_x10,hr_min_x10,hr_samples,hr_source,worn_pct,worn_edges,batt_pct_x10,charging,rmssd_x10,sdnn_x10,rr_count,acc_batches,acc_max_gap_ms,touch_n,hr_trust_x10,hrex_opt,hrex_ext,hrex_unk,batt_mv,batt_ma_x10,batt_avg_ma_x10,batt_mah,wakes,msgs
39017737,1787234799,30000,53647,12606,1375,2,0,-1,707,700,15,1,66,2,1000,0,-1,-1,0,143,40,3,9,28,0,1,-1,-1,-1,-1,215,214
39047738,1787234829,30001,196,29,1500,0,0,0,-1,-1,0,0,100,0,1000,0,-1,-1,0,156,40,0,-1,30,0,0,4395,-50,-32,220,219,217
39077737,1787234859,29999,187,17,1500,0,0,0,-1,-1,0,0,100,0,1000,0,-1,-1,0,156,21,0,-1,30,0,0,4393,6,-34,220,218,217
39107737,1787234889,30000,197,27,1500,0,0,0,-1,-1,0,0,100,0,1000,0,-1,-1,0,156,21,0,-1,29,0,0,4392,6,10,220,216,215
39137737,1787234919,30000,192,19,1500,0,0,0,-1,-1,0,0,100,0,1000,0,-1,-1,0,156,21,0,-1,30,0,0,4390,43,37,220,218,217
39167738,1787234949,30001,191,17,1500,0,0,0,-1,-1,0,0,100,0,1000,0,-1,-1,0,156,21,0,-1,30,0,0,4391,-42,-18,220,219,217
39197738,1787234979,30000,181,18,1375,0,0,0,-1,-1,0,0,100,0,1000,0,-1,-1,0,143,21,0,-1,30,0,0,4390,-164,-85,220,206,204
39227737,1787235009,29999,191,22,1500,0,0,0,-1,-1,0,0,100,0,1000,0,-1,-1,0,156,21,0,-1,30,0,0,4390,6,-4,220,218,217
39257737,1787235039,30000,187,21,1500,0,0,0,-1,-1,0,0,100,0,1000,0,-1,-1,0,156,21,0,-1,29,0,0,4390,21,25,220,216,215
39287737,1787235069,30000,197,19,1500,0,0,0,-1,-1,0,0,100,0,1000,0,-1,-1,0,156,21,0,-1,30,0,0,4389,-6,-12,220,219,217
39317738,1787235099,30001,192,20,1500,0,0,0,-1,-1,0,0,100,0,1000,0,-1,-1,0,156,21,0,-1,30,0,0,4390,14,0,220,219,217
39347737,1787235129,29999,191,19,1500,0,0,0,-1,-1,0,0,100,0,1000,0,-1,-1,0,156,21,0,-1,30,0,0,4389,21,-37,220,218,217
39377737,1787235159,30000,180,19,1500,0,0,0,-1,-1,0,0,100,0,1000,0,-1,-1,0,156,21,0,-1,30,0,0,4367,-576,-306,220,218,217
39407737,1787235189,30000,183,19,1500,0,0,0,-1,-1,0,0,100,0,1000,0,-1,-1,0,156,21,0,-1,29,0,0,4389,-6,-15,220,216,215
39437737,1787235219,30000,199,19,1500,0,0,0,-1,-1,0,0,100,0,1000,0,-1,-1,0,156,21,0,-1,30,0,0,4388,-79,-45,220,218,217
39467737,1787235249,30000,200,18,1500,0,0,0,-1,-1,0,0,100,0,999,0,-1,-1,0,156,21,0,-1,30,0,0,4369,-492,-257,220,219,218
39497737,1787235279,30000,187,17,1500,0,0,0,-1,-1,0,0,100,0,999,0,-1,-1,0,156,21,0,-1,30,0,0,4389,-21,-20,219,219,217
39527737,1787235309,30000,185,16,1500,0,0,0,-1,-1,0,0,100,0,999,0,-1,-1,0,156,21,0,-1,30,0,0,4386,-50,-35,219,218,217
39557737,1787235339,30000,191,15,1500,0,0,0,-1,-1,0,0,100,0,999,0,-1,-1,0,156,21,0,-1,29,0,0,4389,-6,6,219,216,215
39587738,1787235369,30001,191,20,1500,0,0,0,-1,-1,0,0,100,0,1000,0,-1,-1,0,156,21,0,-1,30,0,0,4390,50,29,219,220,218
39617737,1787235399,29999,192,17,1500,0,0,0,-1,-1,0,0,100,0,1000,0,-1,-1,0,156,21,0,-1,30,0,0,4388,-42,-34,219,218,217
39647737,1787235429,30000,184,16,1500,0,0,0,-1,-1,0,0,100,0,1000,0,-1,-1,0,156,21,0,-1,30,0,0,4388,-35,-29,219,218,217
39677738,1787235459,30001,177,18,1500,0,0,0,-1,-1,0,0,100,0,1000,0,-1,-1,0,156,21,0,-1,30,0,0,4388,-50,-40,219,219,217
39707737,1787235489,29999,180,17,1375,0,0,0,-1,-1,0,0,100,0,1000,0,-1,-1,0,143,21,0,-1,29,0,0,4388,-21,-18,219,203,202
39737738,1787235519,30001,185,16,1500,0,0,0,-1,-1,0,0,100,0,1000,0,-1,-1,0,156,21,0,-1,30,0,0,4387,-14,-23,219,219,217
39767737,1787235549,29999,181,23,1500,0,0,0,-1,-1,0,0,100,0,1000,0,-1,-1,0,156,40,0,-1,30,0,0,4389,-57,-32,219,218,217
39797738,1787235579,30001,186,16,1500,0,0,0,-1,-1,0,0,100,0,1000,0,-1,-1,0,156,21,0,-1,30,0,0,4388,0,-1,219,219,217
39827737,1787235609,29999,189,17,1500,0,0,0,-1,-1,0,0,100,0,1000,0,-1,-1,0,156,21,0,-1,30,0,0,4387,-14,-4,219,218,217
39857737,1787235639,30000,188,17,1500,0,0,0,-1,-1,0,0,100,0,1000,0,-1,-1,0,156,21,0,-1,29,0,0,4388,-29,-17,219,216,215
39887737,1787235669,30000,186,19,1500,0,0,0,-1,-1,0,0,100,0,1000,0,-1,-1,0,156,21,0,-1,30,0,0,4388,-29,-17,219,219,217
39917737,1787235699,30000,191,19,1500,0,0,0,-1,-1,0,0,100,0,1000,0,-1,-1,0,156,21,0,-1,30,0,0,4388,0,12,219,218,217
39947737,1787235729,30000,195,19,1500,0,0,0,-1,-1,0,0,100,0,1000,0,-1,-1,0,156,40,0,-1,30,0,0,4387,-14,-31,219,218,217
39977737,1787235759,30000,201,19,1500,0,0,0,-1,-1,0,0,100,0,1000,0,-1,-1,0,156,21,0,-1,30,0,0,4388,-101,-62,219,218,217
40007737,1787235789,30000,188,16,1500,0,0,0,-1,-1,0,0,100,0,1000,0,-1,-1,0,156,21,0,-1,29,0,0,4387,-6,-12,219,216,215
40037738,1787235819,30001,172,19,1375,0,0,0,-1,-1,0,0,100,0,1000,0,-1,-1,0,143,40,0,-1,30,0,0,4387,-73,-31,219,206,204
40067737,1787235849,29999,192,18,1500,0,0,0,-1,-1,0,0,100,0,1000,0,-1,-1,0,156,21,0,-1,30,0,0,4387,45,4,219,218,217
40097737,1787235879,30000,190,23,1500,0,0,0,-1,-1,0,0,100,0,1000,0,-1,-1,0,156,21,0,-1,30,0,0,4386,-87,-51,219,218,217
40127737,1787235909,30000,182,17,1500,0,0,0,-1,-1,0,0,100,0,1000,0,-1,-1,0,156,21,0,-1,30,0,0,4387,45,29,219,218,217
40157737,1787235939,30000,183,16,1500,0,0,0,-1,-1,0,0,100,0,1000,0,-1,-1,0,156,21,0,-1,29,0,0,4387,14,3,219,217,215
40187737,1787235969,30000,184,17,1500,0,0,0,-1,-1,0,0,100,0,1000,0,-1,-1,0,156,21,0,-1,30,0,0,4387,21,6,219,219,217
40217737,1787235999,30000,180,20,1500,0,0,0,-1,-1,0,0,100,0,1000,0,-1,-1,0,156,21,0,-1,30,0,0,4385,21,4,219,218,217
40247737,1787236029,30000,198,18,1500,0,0,0,-1,-1,0,0,100,0,1000,0,-1,-1,0,156,21,0,-1,30,0,0,4387,-14,-15,219,218,217
40277737,1787236059,30000,188,17,1500,0,0,0,-1,-1,0,0,100,0,1000,0,-1,-1,0,156,21,0,-1,30,0,0,4387,-37,-64,219,218,217
40307737,1787236089,30000,171,16,1500,0,0,0,-1,-1,0,0,100,0,1000,0,-1,-1,0,156,40,0,-1,29,0,0,4385,-14,-23,219,216,215
40337737,1787236119,30000,194,19,1500,0,0,0,-1,-1,0,0,100,0,999,0,-1,-1,0,156,21,0,-1,30,0,0,4386,-50,-15,219,219,218
40367737,1787236149,30000,193,18,1500,0,0,0,-1,-1,0,0,100,0,999,0,-1,-1,0,156,21,0,-1,30,0,0,4387,-210,-139,219,219,217
40397737,1787236179,30000,192,19,1500,0,0,0,-1,-1,0,0,100,0,999,0,-1,-1,0,156,21,0,-1,30,0,0,4386,-29,-26,219,218,217
40427737,1787236209,30000,190,18,1500,0,0,0,-1,-1,0,0,100,0,999,0,-1,-1,0,156,21,0,-1,30,0,0,4387,0,0,219,218,217
40457737,1787236239,30000,186,20,1500,0,0,0,-1,-1,0,0,100,0,999,0,-1,-1,0,156,21,0,-1,29,0,0,4386,21,-26,219,216,215
40487737,1787236269,30000,187,19,1500,0,0,0,-1,-1,0,0,100,0,999,0,-1,-1,0,156,21,0,-1,30,0,0,4386,14,1,219,218,217
40517738,1787236299,30001,176,19,1375,0,0,0,-1,-1,0,0,100,0,999,0,-1,-1,0,143,21,0,-1,30,0,0,4385,-37,-26,219,206,204
40547737,1787236329,29999,182,18,1500,0,0,0,-1,-1,0,0,100,0,999,0,-1,-1,0,156,21,0,-1,30,0,0,4384,6,-48,219,218,217
40577737,1787236359,30000,196,24,1500,0,0,0,-1,-1,0,0,100,0,999,0,-1,-1,0,156,40,0,-1,30,0,0,4386,45,1,219,218,217
40607737,1787236389,30000,183,17,1500,0,0,0,-1,-1,0,0,100,0,999,0,-1,-1,0,156,21,0,-1,29,0,0,4386,0,-4,219,216,215
40637737,1787236419,30000,189,19,1500,0,0,0,-1,-1,0,0,100,0,999,0,-1,-1,0,156,21,0,-1,30,0,0,4384,0,-70,219,218,217
40667737,1787236449,30000,180,18,1500,0,0,0,-1,-1,0,0,100,0,999,0,-1,-1,0,156,21,0,-1,30,0,0,4386,0,-10,219,219,217
40697738,1787236479,30001,188,22,1500,0,0,0,-1,-1,0,0,100,0,999,0,-1,-1,0,156,21,0,-1,30,0,0,4385,29,10,219,219,217
40727737,1787236509,29999,183,17,1500,0,0,0,-1,-1,0,0,100,0,999,0,-1,-1,0,156,21,0,-1,30,0,0,4386,-57,-26,219,218,217
40757737,1787236539,30000,186,16,1500,0,0,0,-1,-1,0,0,100,0,999,0,-1,-1,0,156,21,0,-1,29,0,0,4385,21,-53,218,216,215
40787739,1787236569,30002,187,17,1500,0,0,0,-1,-1,0,0,100,0,999,0,-1,-1,0,156,21,0,-1,30,0,0,4380,-81,-50,218,219,217
40817737,1787236599,29998,188,19,1500,0,0,0,-1,-1,0,0,100,0,999,0,-1,-1,0,156,21,0,-1,30,0,0,4385,-14,-26,218,218,217
40847738,1787236629,30001,188,18,1500,0,0,0,-1,-1,0,0,100,0,999,0,-1,-1,0,156,21,0,-1,30,0,0,4385,-65,-25,218,219,217
40877737,1787236659,29999,190,18,1500,0,0,0,-1,-1,0,0,100,0,999,0,-1,-1,0,156,21,0,-1,30,0,0,4384,14,-106,218,218,217
40907738,1787236689,30001,179,17,1500,0,0,0,-1,-1,0,0,100,0,999,0,-1,-1,0,156,21,0,-1,29,0,0,4385,-43,-34,218,217,215
40937738,1787236719,30000,187,19,1500,0,0,0,-1,-1,0,0,100,0,999,0,-1,-1,0,156,21,0,-1,30,0,0,4387,65,32,218,219,217
40967737,1787236749,29999,186,18,1500,0,0,0,-1,-1,0,0,100,0,999,0,-1,-1,0,156,21,0,-1,30,0,0,4384,14,-60,218,218,217
40997738,1787236779,30001,184,17,1500,0,0,0,-1,-1,0,0,100,0,999,0,-1,-1,0,156,21,0,-1,30,0,0,4387,-43,-20,218,219,217
41027737,1787236809,29999,194,19,1500,0,0,0,-1,-1,0,0,100,0,999,0,-1,-1,0,156,21,0,-1,30,0,0,4383,-21,-9,218,218,217
41057737,1787236839,30000,188,17,1500,0,0,0,-1,-1,0,0,100,0,999,0,-1,-1,0,156,21,0,-1,29,0,0,4384,-6,-48,218,216,215
41087739,1787236869,30002,171,17,1375,0,0,0,-1,-1,0,0,100,0,999,0,-1,-1,0,143,21,0,-1,30,0,0,4385,-81,-50,218,206,204
41117737,1787236899,29998,202,18,1500,0,0,0,-1,-1,0,0,100,0,999,0,-1,-1,0,156,21,0,-1,30,0,0,4384,-103,-75,218,219,217
41147738,1787236929,30001,178,17,1500,0,0,0,-1,-1,0,0,100,0,999,0,-1,-1,0,156,21,0,-1,30,0,0,4385,0,-48,218,219,217
41177737,1787236959,29999,189,19,1500,0,0,0,-1,-1,0,0,100,0,999,0,-1,-1,0,156,40,0,-1,30,0,0,4384,-51,-81,218,218,217
41207738,1787236989,30001,192,18,1500,0,0,0,-1,-1,0,0,100,0,999,0,-1,-1,0,156,40,0,-1,29,0,0,4384,29,-23,218,217,215
41237738,1787237019,30000,180,17,1500,0,0,0,-1,-1,0,0,100,0,999,0,-1,-1,0,156,21,0,-1,30,0,0,4385,-103,-60,218,219,217
41267737,1787237049,29999,188,18,1500,0,0,0,-1,-1,0,0,100,0,999,0,-1,-1,0,156,21,0,-1,30,0,0,4385,14,-14,218,218,217
41297737,1787237079,30000,186,18,1500,0,0,0,-1,-1,0,0,100,0,999,0,-1,-1,0,156,21,0,-1,30,0,0,4383,37,10,218,218,217
41327737,1787237109,30000,183,17,1500,0,0,0,-1,-1,0,0,100,0,999,0,-1,-1,0,156,21,0,-1,30,0,0,4384,-21,-9,218,218,217
41357737,1787237139,30000,194,19,1500,0,0,0,-1,-1,0,0,100,0,999,0,-1,-1,0,156,21,0,-1,29,0,0,4384,14,-4,218,216,215
41387737,1787237169,30000,167,18,1375,0,0,0,-1,-1,0,0,100,0,999,0,-1,-1,0,143,21,0,-1,30,0,0,4385,0,-9,218,205,204
41417737,1787237199,30000,190,17,1500,0,0,0,-1,-1,0,0,100,0,999,0,-1,-1,0,156,21,0,-1,30,0,0,4385,-37,-37,218,218,217
41447738,1787237229,30001,193,19,1500,0,0,0,-1,-1,0,0,100,0,999,0,-1,-1,0,156,21,0,-1,30,0,0,4384,14,7,218,219,217
41477738,1787237259,30000,199,21,1500,0,0,0,-1,-1,0,0,100,0,999,0,-1,-1,0,156,40,0,-1,30,0,0,4385,51,31,218,219,217
41507737,1787237289,29999,191,19,1500,0,0,0,-1,-1,0,0,100,0,999,0,-1,-1,0,156,40,0,-1,29,0,0,4385,0,-20,218,216,215
41537737,1787237319,30000,187,17,1500,0,0,0,-1,-1,0,0,100,0,999,0,-1,-1,0,156,21,0,-1,30,0,0,4384,-29,-17,218,219,217
41567737,1787237349,30000,186,19,1500,0,0,0,-1,-1,0,0,100,0,999,0,-1,-1,0,156,21,0,-1,30,0,0,4384,37,21,218,218,217
41597738,1787237379,30001,196,17,1500,0,0,0,-1,-1,0,0,100,0,999,0,-1,-1,0,156,21,0,-1,30,0,0,4384,-65,-21,218,219,217
41627737,1787237409,29999,182,19,1500,0,0,0,-1,-1,0,0,100,0,999,0,-1,-1,0,156,21,0,-1,30,0,0,4384,-14,-15,218,218,217
41657737,1787237439,30000,181,20,1500,0,0,0,-1,-1,0,0,100,0,999,0,-1,-1,0,156,21,0,-1,29,0,0,4384,-14,-15,218,216,215
41687737,1787237469,30000,184,20,1375,0,0,0,-1,-1,0,0,100,0,999,0,-1,-1,0,143,40,0,-1,30,0,0,4383,0,-10,218,205,204
41717738,1787237499,30001,192,18,1500,0,0,0,-1,-1,0,0,100,0,1000,0,-1,-1,0,156,21,0,-1,30,0,0,4384,37,31,218,220,218
