# SleepLab epoch log, schema 3. One row per 30 s recording epoch.
# uptime_ms is device uptime and survives an app restart; wall_utc is the
# wall clock and can jump. Durations come from uptime, times of day from
# the wall clock, and -1 means not measured (never 0).
# Schema 2 adds the delivery and power columns the Tier 0 probe used to own,
# so one night can answer both what the wearer did and what the hardware did.
# They are absent, not zero, when the diagnostics setting is off.
# Schema 3 adds count_x/y/z, the per-axis integrals count is the vector
# magnitude of. Noise is roughly isotropic and movement is not, so the split
# is what separates a sensor noise floor from a floor of micro-movement.
uptime_ms,wall_utc,span_ms,count,peak,samples,count_x,count_y,count_z,motion,sig_motion,step_delta,hr_mean_x10,hr_min_x10,hr_samples,hr_source,worn_pct,worn_edges,batt_pct_x10,charging,rmssd_x10,sdnn_x10,rr_count,acc_batches,acc_max_gap_ms,touch_n,hr_trust_x10,hrex_opt,hrex_ext,hrex_unk,batt_mv,batt_ma_x10,batt_avg_ma_x10,batt_mah,wakes,msgs
# SleepLab v0.3.0 bed=1260-660 hr=continuous alarm=0 epoch_s=30 scoring_epoch_s=60
6817323,1787290283,30000,374,38,1500,243,216,184,0,0,0,530,520,30,1,100,0,1000,0,-1,-1,0,156,21,0,30,30,0,0,4370,-35,-42,213,218,217
6847323,1787290313,30000,373,34,1500,244,215,181,0,0,0,525,520,30,1,100,0,1000,0,-1,-1,0,156,21,0,29,30,0,0,4371,-6,-31,213,218,217
6877323,1787290343,30000,361,36,1500,226,213,183,0,0,0,529,520,30,1,100,0,1000,0,-1,-1,0,156,21,0,28,30,0,0,4372,48,-17,213,218,217
6907323,1787290373,30000,343,36,1375,231,193,163,0,0,0,544,530,29,1,100,0,1000,0,-1,-1,0,143,21,0,25,29,0,0,4370,-78,-32,213,204,202
6937323,1787290403,30000,389,37,1500,269,212,184,0,0,0,539,530,30,1,100,0,1000,0,-1,-1,0,156,21,0,30,30,0,0,4371,14,9,213,219,217
6967323,1787290433,30000,358,33,1500,226,208,183,0,0,0,526,510,30,1,100,0,1000,0,-1,-1,0,156,21,0,28,30,0,0,4371,0,7,213,218,217
6997323,1787290463,30000,378,35,1500,243,225,182,0,0,0,552,530,30,1,100,0,1000,0,-1,-1,0,156,21,0,25,30,0,0,4369,-48,-32,213,218,217
7027323,1787290493,30000,377,32,1500,248,211,189,0,0,0,543,530,30,1,100,0,1000,0,-1,-1,0,156,21,0,30,30,0,0,4370,-42,-31,213,218,217
7057323,1787290523,30000,364,34,1500,241,204,179,0,0,0,534,520,30,1,100,0,1000,0,-1,-1,0,156,21,0,30,30,0,0,4372,35,17,213,218,217
