# SleepLab epoch log, schema 3. One row per 30 s recording epoch.
# uptime_ms is device uptime and survives an app restart; wall_utc is the
# wall clock and can jump. Durations come from uptime, times of day from
# the wall clock, and -1 means not measured (never 0).
# Schema 2 adds the delivery and power columns the Tier 0 probe used to own,
# so one night can answer both what the wearer did and what the hardware did.
# They are absent, not zero, when the diagnostics setting is off.
# Schema 3 adds count_x/y/z, the per-axis integrals count is the vector
# magnitude of. Noise is roughly isotropic and movement is not, so the split
# is what separates a sensor noise floor from a floor of micro-movement.
uptime_ms,wall_utc,span_ms,count,peak,samples,count_x,count_y,count_z,motion,sig_motion,step_delta,hr_mean_x10,hr_min_x10,hr_samples,hr_source,worn_pct,worn_edges,batt_pct_x10,charging,rmssd_x10,sdnn_x10,rr_count,acc_batches,acc_max_gap_ms,touch_n,hr_trust_x10,hrex_opt,hrex_ext,hrex_unk,batt_mv,batt_ma_x10,batt_avg_ma_x10,batt_mah,wakes,msgs
37323,1787283503,30000,4243,3588,1250,2252,1497,3269,2,0,-1,708,630,21,1,50,1,1000,0,-1,-1,0,130,40,2,25,29,0,0,-1,-1,-1,-1,199,198
67323,1787283533,30000,24120,9423,1500,8470,20545,9377,2,0,0,663,650,29,1,100,0,1000,0,-1,-1,0,156,44,0,22,29,0,0,4383,43,12,217,220,219
97323,1787283563,30000,4824,3055,1375,1716,2834,3505,1,0,0,667,650,29,1,100,0,1000,0,-1,-1,0,143,40,0,16,29,0,0,4371,-542,-270,217,204,203
127323,1787283593,30000,6508,1646,1500,4751,3741,2407,1,0,0,717,670,29,1,100,0,1000,0,-1,-1,0,156,40,0,13,29,0,0,4385,-42,-31,217,219,218
157323,1787283623,30000,1390,313,1500,509,964,862,0,0,0,728,680,30,1,100,0,1000,0,-1,-1,0,156,21,0,18,30,0,0,4385,-29,-18,217,218,217
187323,1787283653,30000,5449,1679,1375,3130,3948,2074,2,0,0,682,660,29,1,100,0,1000,0,-1,-1,0,143,40,0,20,29,0,0,4385,0,-14,217,206,205
217323,1787283683,30000,16440,8029,1375,9579,11097,7441,1,1,0,642,620,30,1,100,0,1000,0,-1,-1,0,143,40,0,17,30,0,0,4385,-21,-29,217,209,207
247323,1787283713,30000,14028,8921,1500,6548,9824,7575,1,0,0,695,620,29,1,100,0,1000,0,-1,-1,0,156,40,0,16,29,0,0,4383,79,35,217,219,218
277323,1787283743,30000,5556,1911,1375,2564,3899,3015,3,0,0,665,640,29,1,100,0,1000,0,-1,-1,0,143,40,0,22,29,0,0,4385,43,15,217,209,208
307323,1787283773,30000,5438,3072,1375,2198,4332,2444,1,0,0,671,660,29,1,100,0,1000,0,-1,-1,0,143,40,0,23,29,0,0,4381,50,18,217,205,204
337323,1787283803,30000,4169,2668,1375,1314,3272,2224,2,0,0,698,670,30,1,100,0,1000,0,-1,-1,0,143,40,0,23,30,0,0,4381,-129,-64,217,209,208
367323,1787283833,30000,4791,2910,1500,1777,3521,2720,1,2,0,684,660,29,1,100,0,999,0,-1,-1,0,156,40,0,24,29,0,0,4384,29,1,217,220,219
397323,1787283863,30000,5536,2240,1375,1929,4093,3188,2,0,0,701,670,29,1,100,0,999,0,-1,-1,0,143,40,0,27,29,0,0,4383,6,-21,216,207,206
427323,1787283893,30000,2692,1852,1500,1047,2045,1404,1,0,0,694,680,29,1,100,0,999,0,-1,-1,0,156,40,0,24,29,0,0,4383,-50,-29,216,219,217
457323,1787283923,30000,5396,2994,1375,2022,4152,2791,3,0,0,687,660,29,1,100,0,999,0,-1,-1,0,143,40,0,26,29,0,0,4383,-42,-25,216,209,208
487323,1787283953,30000,3450,1502,1375,1368,2629,1765,1,0,0,698,690,29,1,100,0,999,0,-1,-1,0,143,40,0,22,29,0,0,4383,-42,-31,216,206,205
517323,1787283983,30000,1891,704,1375,581,1473,1032,2,0,0,704,690,29,1,100,0,999,0,-1,-1,0,143,40,0,28,29,0,0,4381,14,10,216,207,206
547323,1787284013,30000,9080,5335,1375,4523,6728,4090,2,0,0,703,690,29,1,100,0,999,0,-1,-1,0,143,40,0,23,29,0,0,4383,-14,-4,216,206,205
